P-100_I-0,1,2_M-1,0,2;0,597
P-100_I-0,1,2_M-1,0;0,6083
P-100_I-0,1,2_M-1;0,7673
P-100_I-0,1,3_M-0,2;0,7939
P-100_I-0,1,3_M-0;0,93
P-100_I-0,1,3_M-1,0,2;0,8852
P-100_I-0,1,3_M-1,0;0,6757
P-100_I-0,1,3_M-1;0,7319
P-100_I-0,1_M-0,2;0,2953
P-100_I-0,1_M-0;0,0974
P-100_I-0,1_M-1,0,2;0,262
P-100_I-0,1_M-1,0;0,6014
P-100_I-0,1_M-1;0,4962
P-100_I-0_M-0,2;0,0506
P-100_I-0_M-0;0,5562
P-100_I-0_M-1,0,2;0,1965
P-100_I-0_M-1,0;0,0512
P-100_I-0_M-1;0,4395
P-100_I-1_M-0,2;0
P-100_I-1_M-0;0
P-100_I-1_M-1,0,2;0,1492
P-100_I-1_M-1,0;0,1374
P-100_I-1_M-1;0,1374
